NOM,ARRONDISSEMENT,OUVERT,DEBLAYE,DATE
"Aire de glissade ,Don-Bosco",Rivière-des-Prairies - Pointe-aux-Trembles,0,0,2021
"Aire de glissade,François-Vaillancourt",Rivière-des-Prairies - Pointe-aux-Trembles,0,0,2021
"Glissade, Parc Arthur-Therrien",Verdun,0,0,2021
"Aire de glissade, Parc Confédération",Côte-des-Neiges - Notre-Dame-de-Grâce,,0,2021
"Aire de glissade, Parc Van-Horne",Côte-des-Neiges - Notre-Dame-de-Grâce,,0,2021
"Aire de glissade,Saint-Jean-Baptiste",Rivière-des-Prairies - Pointe-aux-Trembles,0,0,2021
"Aire de glissade,Saint-Joseph",Rivière-des-Prairies - Pointe-aux-Trembles,0,0,2021
